,FishnetID,ReportingMonth,PerformanceTarget,dl_avg_pred,df_error
2861,1780240,2017-07-01,0.7536,0.0,-0.7536
2862,1780240,2017-08-01,0.7851,0.0,-0.7851
2863,1780240,2017-09-01,0.8072,0.8306013941764832,0.023401394176483126
2864,1780240,2017-10-01,0.8258,0.8653943538665771,0.03959435386657717
2885,1782694,2018-06-01,0.8170000000000001,0.9993876218795776,0.18238762187957758
2944,1787612,2017-12-01,0.8382,0.9993409514427185,0.16114095144271856
2951,1790070,2017-06-01,0.1352,0.0,-0.1352
2952,1790070,2017-07-01,0.1176,0.0,-0.1176
2953,1790070,2017-08-01,0.1062,0.0,-0.1062
2954,1790070,2017-09-01,0.0884,0.10134950280189514,0.012949502801895135
2955,1790070,2017-10-01,0.0865,0.1000475212931633,0.013547521293163306
2956,1790070,2017-11-01,0.0865,0.09948316216468811,0.012983162164688117
2957,1790070,2017-12-01,0.0865,0.09927057474851608,0.01277057474851609
2958,1790070,2018-01-01,0.0865,0.10128846764564514,0.014788467645645148
2959,1790070,2018-02-01,0.0865,0.10144166648387909,0.014941666483879096
2960,1790070,2018-03-01,0.0865,0.10123053193092346,0.014730531930923468
2961,1790070,2018-04-01,0.0865,0.10068114101886749,0.014181141018867499
2962,1790070,2018-05-01,0.0865,0.10051107406616211,0.014011074066162116
2963,1790070,2018-06-01,0.0865,0.17298150062561035,0.08648150062561036
2969,1791894,2017-11-01,0.8222,0.9592457413673401,0.13704574136734005
2970,1791894,2017-12-01,0.833,0.8528102040290833,0.01981020402908329
2972,1791894,2018-02-01,0.802,0.8707358837127686,0.06873588371276851
2973,1791894,2018-03-01,0.8186,0.8215073943138123,0.0029073943138122615
2974,1791894,2018-04-01,0.7901,0.8353415727615356,0.04524157276153562
2975,1791894,2018-05-01,0.7612,0.8102455139160156,0.04904551391601564
2976,1791894,2018-06-01,0.7469,0.7889106273651123,0.042010627365112296
2990,1831181,2017-06-01,0.5143,0.0,-0.5143
2991,1831181,2017-07-01,0.444,0.0,-0.444
2992,1831181,2017-08-01,0.4329,0.0,-0.4329
2993,1831181,2017-09-01,0.4242,0.47805964946746826,0.05385964946746824
2994,1831181,2017-10-01,0.4158,0.46706196665763855,0.05126196665763855
2995,1831181,2017-11-01,0.4059,0.4605901539325714,0.05469015393257143
2996,1831181,2017-12-01,0.3945,0.4539344310760498,0.05943443107604979
2997,1831181,2018-01-01,0.4096,0.44681790471076965,0.037217904710769634
2998,1831181,2018-02-01,0.431,0.45327332615852356,0.022273326158523565
2999,1831181,2018-03-01,0.4435,0.4676092565059662,0.02410925650596618
3000,1831181,2018-04-01,0.4682,0.47927722334861755,0.011077223348617549
3001,1831181,2018-05-01,0.4765,0.49968886375427246,0.023188863754272482
3002,1831181,2018-06-01,0.5009,0.5090218782424927,0.008121878242492664
3043,1945005,2017-07-01,0.6557,0.0,-0.6557
3044,1945005,2017-08-01,0.7339,0.0,-0.7339
3046,1945005,2017-10-01,0.6464,0.9986213445663452,0.35222134456634524
3072,1978423,2017-10-01,0.8181,0.913862407207489,0.09576240720748896
3073,1978423,2017-11-01,0.7868,0.8528409600257874,0.0660409600257873
3074,1978423,2017-12-01,0.7683,0.819535493850708,0.051235493850708025
3075,1978423,2018-01-01,0.7255,0.802462100982666,0.07696210098266598
3076,1978423,2018-02-01,0.5757,0.7670227289199829,0.19132272891998292
3077,1978423,2018-03-01,0.5094,0.6294163465499878,0.12001634654998783
3078,1978423,2018-04-01,0.4879,0.5626041293144226,0.07470412931442261
3079,1978423,2018-05-01,0.5478,0.5283147692680359,-0.019485230731964065
3080,1978423,2018-06-01,0.5903,0.5710196495056152,-0.019280350494384813
3120,2148444,2017-06-01,0.8291,0.0,-0.8291
3121,2148444,2017-07-01,0.8490000000000001,0.0,-0.8490000000000001
3122,2148444,2017-08-01,0.8269,0.0,-0.8269
3123,2148444,2017-09-01,0.8337,0.8530866503715515,0.019386650371551517
3124,2148444,2017-10-01,0.8161,0.8595719933509827,0.04347199335098262
3125,2148444,2017-11-01,0.7879,0.8424797654151917,0.054579765415191606
3126,2148444,2017-12-01,0.8165,0.8183532357215881,0.0018532357215881312
3181,2211728,2018-03-01,0.8275,0.8638627529144287,0.0363627529144287
3182,2211728,2018-04-01,0.8339,0.8204817175865173,-0.01341828241348264
3289,2307482,2017-06-01,0.6634,0.0,-0.6634
3290,2307482,2017-07-01,0.6607,0.0,-0.6607
3291,2307482,2017-08-01,0.6702,0.0,-0.6702
3292,2307482,2017-09-01,0.7655,0.7204034924507141,-0.04509650754928585
3293,2307482,2017-10-01,0.6936,0.7420955896377563,0.04849558963775635
3295,2307482,2017-12-01,0.6545,0.7877786755561829,0.1332786755561829
3296,2307482,2018-01-01,0.6744,0.7089725136756897,0.0345725136756897
3297,2307482,2018-02-01,0.7026,0.7319819927215576,0.029381992721557615
3298,2307482,2018-03-01,0.7269,0.7377161979675293,0.010816197967529306
3299,2307482,2018-04-01,0.6792,0.7431175708770752,0.06391757087707517
3300,2307482,2018-05-01,0.7242,0.7229502201080322,-0.0012497798919677283
3315,2319751,2017-06-01,0.5446,0.0,-0.5446
3316,2319751,2017-07-01,0.5589,0.0,-0.5589
3317,2319751,2017-08-01,0.6041,0.0,-0.6041
3318,2319751,2017-09-01,0.594,0.6471659541130066,0.05316595411300662
3319,2319751,2017-10-01,0.6021,0.6453695297241211,0.043269529724121125
3320,2319751,2017-11-01,0.6186,0.6839184761047363,0.06531847610473629
3321,2319751,2017-12-01,0.638,0.6928781867027283,0.05487818670272826
3322,2319751,2018-01-01,0.6729999999999999,0.7059177756309509,0.032917775630950996
3323,2319751,2018-02-01,0.7017,0.7223606705665588,0.020660670566558847
3324,2319751,2018-03-01,0.7199,0.6951379776000977,-0.024762022399902328
3325,2319751,2018-04-01,0.4948,0.682624340057373,0.18782434005737303
3326,2319751,2018-05-01,0.5546,0.5846837759017944,0.03008377590179445
3327,2319751,2018-06-01,0.5805,0.614138126373291,0.033638126373291
3348,2327120,2018-01-01,0.7577,0.8215336203575134,0.06383362035751339
3349,2327120,2018-02-01,0.5961,0.7247844934463501,0.12868449344635013
3350,2327120,2018-03-01,0.7561,0.7869452238082886,0.03084522380828858
3351,2327120,2018-04-01,0.8205,0.8710616827011108,0.05056168270111083
3367,2332025,2017-06-01,0.6493,0.0,-0.6493
3368,2332025,2017-07-01,0.6976,0.0,-0.6976
3369,2332025,2017-08-01,0.7421,0.0,-0.7421
3370,2332025,2017-09-01,0.7859999999999999,0.8076730370521545,0.02167303705215462
3371,2332025,2017-10-01,0.7939,0.8312731981277466,0.03737319812774653
3372,2332025,2017-11-01,0.7649,0.8484883904457092,0.0835883904457092
3373,2332025,2017-12-01,0.7691,0.8227038383483887,0.053603838348388666
3374,2332025,2018-01-01,0.7682,0.8240976333618164,0.05589763336181641
3375,2332025,2018-02-01,0.7782,0.822592556476593,0.044392556476593015
3377,2332025,2018-04-01,0.7974,0.996403694152832,0.19900369415283203
3388,2334484,2018-02-01,0.775,0.7945241332054138,0.019524133205413796
3389,2334484,2018-03-01,0.6665,0.7201704382896423,0.05367043828964235
3390,2334484,2018-04-01,0.591,0.6385865807533264,0.047586580753326446
3391,2334484,2018-05-01,0.5382,0.5879825949668884,0.049782594966888416
3392,2334484,2018-06-01,0.507,0.5599005222320557,0.05290052223205566
3458,2371277,2017-06-01,0.1641,0.0,-0.1641
3459,2371277,2017-07-01,0.2847,0.0,-0.2847
3460,2371277,2017-08-01,0.3794,0.0,-0.3794
3461,2371277,2017-09-01,0.4491,0.4967416822910309,0.047641682291030885
3462,2371277,2017-10-01,0.5071,0.481375515460968,-0.025724484539031978
3463,2371277,2017-11-01,0.5501,0.4738277792930603,-0.07627222070693973
3464,2371277,2017-12-01,0.1555,0.4772678315639496,0.3217678315639496
3465,2371277,2018-01-01,0.2727,0.36630329489707947,0.09360329489707947
3466,2371277,2018-02-01,0.3748,0.37457606196403503,-0.00022393803596498785
3468,2371277,2018-04-01,0.5119,0.9997364282608032,0.4878364282608032
3533,2378656,2018-04-01,0.8361,0.9991487264633179,0.16304872646331792
3534,2378656,2018-05-01,0.8029,0.9894747138023376,0.1865747138023377
3542,2381056,2017-12-01,0.8496,0.8843576312065125,0.03475763120651243
3698,2405660,2017-12-01,0.7338,0.8447475433349609,0.11094754333496093
3699,2405660,2018-01-01,0.693,0.7684271931648254,0.07542719316482549
3787,2430123,2017-10-01,0.8,0.9921175837516785,0.19211758375167842
3788,2430123,2017-11-01,0.8025,0.8358812928199768,0.033381292819976816
3789,2430123,2017-12-01,0.7353,0.8149809837341309,0.0796809837341309
3790,2430123,2018-01-01,0.7155,0.7554402947425842,0.039940294742584204
